id,name,varietal,vivino_rating,vivino_url
20390,McWilliam's Fruitwood Red,Moscato,,
20391,Purple Flame Premium Brut NV,Champagne,,
20392,Veuve Clicquot Brut Yellow,Champagne,,
20393,Brown Brothers Moscato,Moscato,,
20394,Calappiano 18 Carat Prosecco DOC Brut NV 750ml,Champagne,,
20395,Oyster Bay Sauvignon Blanc,Sauvignon Blanc,,
20396,Moet & Chandon Nectar Imperial,Champagne,,
20397,Gossips Sweet Lips Pink Moscato,Moscato,,
20398,Moet & Chandon Imperial Brut,Champagne,,
20399,Pierre D'Amour Rose,Rose,,
20400,Brown Brothers Moscato Rose,Moscato Rose,,
20401,Moet & Chandon Ice Imperial,Champagne,,
20402,Tempus Two Copper Series Moscato,Moscato,,
20403,Cloudy Bay Sauvignon Blanc,Sauvignon Blanc,,
20404,McWilliams Fruitwood White,Sauvignon Blanc,,
20405,Inclination Sauvignon Blanc,Sauvignon Blanc,,
20406,Mumm Cordon Rouge Brut Champagne NV,Champagne,,
20407,Yellow Tail Moscato,Moscato,,
20408,Gossips Sweet Lips Mosacto,Moscato,,
20409,Penfolds Grandfather Rare Tawny 20 Year Old,Tawny Port,,
